date_code,archive_url,file_name
201907,http://web.archive.org/web/20190722144258/https://store.steampowered.com/hwsurvey/?platform=pc,20190722144258.txt
201908,http://web.archive.org/web/20190809120824/https://store.steampowered.com/hwsurvey/?platform=pc,20190809120824.txt
201909,http://web.archive.org/web/20190923162212/https://store.steampowered.com/hwsurvey/?platform=pc,20190923162212.txt
201910,http://web.archive.org/web/20191013162114/https://store.steampowered.com/hwsurvey?platform=pc,20191013162114.txt
201911,http://web.archive.org/web/20191115221219/https://store.steampowered.com/hwsurvey/?platform=pc,20191115221219.txt
201912,http://web.archive.org/web/20191212042303/https://store.steampowered.com/hwsurvey/?platform=pc,20191212042303.txt
202001,http://web.archive.org/web/20200110013821/https://store.steampowered.com/hwsurvey/?platform=pc,20200110013821.txt
202002,,
202003,http://web.archive.org/web/20200325061438/https://store.steampowered.com/hwsurvey?platform=pc,20200325061438.txt
202004,http://web.archive.org/web/20200430005243/https://store.steampowered.com/hwsurvey?platform=pc,20200430005243.txt
202005,http://web.archive.org/web/20200514163348/https://store.steampowered.com/hwsurvey?platform=pc,20200514163348.txt
202006,http://web.archive.org/web/20200621195926/https://store.steampowered.com/hwsurvey?platform=pc,20200621195926.txt
202007,http://web.archive.org/web/20200721182143/https://store.steampowered.com/hwsurvey?platform=pc,20200721182143.txt
202008,http://web.archive.org/web/20200807081225/https://store.steampowered.com/hwsurvey?platform=pc,20200807081225.txt
202009,,
202010,http://web.archive.org/web/20201012102010/https://store.steampowered.com/hwsurvey?platform=pc,20201012102010.txt
202011,http://web.archive.org/web/20201112032113/https://store.steampowered.com/hwsurvey?platform=pc,20201112032113.txt
202012,,
202101,http://web.archive.org/web/20210104224304/https://store.steampowered.com/hwsurvey/?platform=pc,20210104224304.txt
202102,http://web.archive.org/web/20210201215714/https://store.steampowered.com/hwsurvey/?platform=pc,20210201215714.txt
202103,,
202104,,
202105,http://web.archive.org/web/20210518105034/https://store.steampowered.com/hwsurvey/?platform=pc,20210518105034.txt
202106,http://web.archive.org/web/20210629172000/https://store.steampowered.com/hwsurvey?platform=pc,20210629172000.txt
202107,http://web.archive.org/web/20210703153515/https://store.steampowered.com/hwsurvey/?platform=pc,20210703153515.txt
202108,http://web.archive.org/web/20210827091655/https://store.steampowered.com/hwsurvey/?platform=pc,20210827091655.txt
202109,http://web.archive.org/web/20210911121305/https://store.steampowered.com/hwsurvey?platform=pc,20210911121305.txt
202110,http://web.archive.org/web/20211007073405/https://store.steampowered.com/hwsurvey/?platform=pc,20211007073405.txt
202111,http://web.archive.org/web/20211115035209/https://store.steampowered.com/hwsurvey?platform=pc,20211115035209.txt
202112,http://web.archive.org/web/20211212120208/https://store.steampowered.com/hwsurvey?platform=pc,20211212120208.txt
